"","Description","Lot.Batch..","Category","Sub.Category","Strain.Name","Strain.Type","d9.THC..mg.g.","THCA..mg.g.","d8.THC..mg.g.","CBD..mg.g.","CBDA..mg.g.","CBDV..mg.g.","CBN..mg.g.","CBG..mg.g.","CBC..mg.g.","CBCA..mg.g.","CBGA..mg.g.","Total.THC.mg.g","Total.CBD.mg.g","Terpinolene....","Eudesmol....","α.Pinene....","β.Pinene....","Camphene....","Eucalyptol....","Isopulegol....","Menthol....","Borneol....","Trans.Beta.Ocimene....","Cis.Beta.Ocimene....","Geraniol....","Linalool....","Guaiol....","α.Bisabolol....","α.Terpinene....","Citronellol....","δ.3.Carene....","Cis.Nerolidol....","Trans.Nerolidol....","Limonene....","P.Cymene....","γ.Terpinene....","α.Terpineol....","ß.Myrcene....","CaryophylleneOxide....","α.Humulene....","ß.Caryophyllene....","total_cannabinoidsMg.g","total_terpsMg.g"
"1","1:1 GB FSO QC","MMSRP-SHFPKJ-1:1","Concentrate","Other","","",391.801,NA,NA,343.613,13.093,NA,8.311,6.522,13.297,1.975,1.053,391.801,355.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,779.665,0
"2","1:3 CBD:THC stk soln","1:3 CBD:THC stk soln","Concentrate","Orally Consumed Concentrate","","",309.986,103.043,NA,104.93,33.808,NA,3.66,3.496,8.595,8.53,2.474,400.355,134.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578.522,0
"3","15mL WHITE TNT RK061027 QC","15ML NEW WHITE TNT BOTTLE QC TEST","Other","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"4","2x OG Chem","Double OG Chem PL 470","Plant","Flower","","",13.613,170.871,NA,NA,0.643,NA,NA,1.129,NA,4.063,5.028,163.467,0.563911,0.00307,NA,0.0252,0.046,0.00733,NA,NA,NA,0.00576,NA,NA,NA,0.0696,NA,0.00355,NA,NA,NA,NA,NA,0.184,NA,NA,0.0285,0.0963,0.0022,0.186,0.573,195.347,1.23051
"5","3:1 GB FSO QC","SHFPKJ-MMSRP-3:1","Concentrate","Other","","",622.014,1.829,NA,175.123,13.487,0.756,8.767,5.864,10.69,1.933,1.343,623.618,186.951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,841.806,0
"6","3:1 GB FSO QC2","SHFPKJ-MMSRP-3:1","Concentrate","Other","","",578.742,5.423,NA,183.423,29.024,0.776,8.501,5.46,10.335,3.167,1.799,583.498,208.877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,826.65,0
"7","99 Cookies Cartridges","5D163501B7536","Concentrate","Cartridge","99 Cookies","Hybrid",633.4,119.8,NA,2.6,1.4,NA,4.9,9.9,2.8,3.2,6.1,738.465,3.8278,0.037,NA,0.139,0.097,0.031,0.0534,NA,NA,0.0156,0.0117,0.0195,NA,0.109,NA,0.0212,0.0109,NA,NA,NA,NA,0.951,NA,0.0142,0.0225,0.289,0.0127,0.688,2.32,784.1,4.8427
"8","AC/DC Flower","PL 460","Plant","Flower","","",0.654,3.764,NA,5.506,117.868,NA,NA,0.694,0.525,6.735,3.951,3.95503,108.876,NA,0.112,0.108,0.0592,0.00152,NA,NA,NA,0.00227,NA,NA,NA,0.00942,0.103,0.105,NA,NA,NA,NA,0.00462,0.00594,NA,NA,0.00461,0.169,0.00702,0.0241,0.178,139.697,0.8937
"9","AC/DC Tincture QC","FRFACD211110-S1","Edible","Tincture","","",1.694695,NA,NA,30.622065,4.021055,NA,0.137585,NA,1.22893,0.4128,NA,1.6947,34.1485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.11713,0
"10","ACDC CRUDE QC","PL 460","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"11","ACDC FSO QC","CHM-ACD210102","Concentrate","Other","","",25.56,0.49,NA,608.71,89.99,1.14,2.53,1.73,12.45,3.69,1.27,25.56,687.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,747.56,0
"12","ACDC FSO QC 2022","CHM-FRFACD212201-FSO","Concentrate","Other","","",32.53085,0.48547,NA,624.245765,105.43305,1.0948,2.25608,10.38551,28.81339,2.25332,NA,32.5309,716.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,807.498235,0
"13","ACTUALPL426(LVL , MH)CRUDE","ACTUALPL426(LVL , MH)CRUDE","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"14","Animal Cookies Bulk Tincture QC","CHM-CFANC210719-S1","Edible","Tincture","","",27.68844,1.22093,NA,0.08679,0.02591,NA,0.499095,0.06955,0.15082,0.1364,0.05322,28.7592,0.08679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.931155,0
"15","Apricot Trainwreck Flower QC","CHM-BCLATK-FLW","Plant","Flower","","",28.584,129.058,NA,NA,NA,NA,NA,1.626,0.639,3.892,11.921,141.768,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.72,0
"16","Apricot Trainwreck FSO QC","CHM-BCLATW220522-FSO","Concentrate","Other","","",586.775,167.824,NA,1.414,0.87,NA,11.616,23.153,8.024,7.036,24.667,733.957,2.17699,0.00298658,NA,NA,NA,NA,0.001303239,NA,NA,0.005862648,NA,NA,NA,0.010920321,NA,0.255829179,0.010654659,NA,NA,NA,0.03540676,NA,NA,0.005234039,0.016580401,0.003489563,NA,0.211092125,0.529086297,831.379,1.088445811
"17","ARVPR-CACLN MTW-QC1","ARVPR-CACLN MTW-QC1","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"18","ARVPR-CACLN MTW-QC2","ARVPR-CACLN MTW-QC2","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"19","ARVPR-F6RND PNLEUP-QC1","ARVPR-F6RND PNLEUP-QC1","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"20","ARVPR-S4V1 PNLEUP-QC1","ARVPR-S4V1 PNLEUP-QC1","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"21","ARVPR-S4V2 PNLEUP-QC1","ARVPR-S4V2 PNLEUP-QC1","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"22","ASV-MH190108","ASV-MH190108","Concentrate","Distillate","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"23","ASV-MH190108","ASV-MH190108","Concentrate","Distillate","","",827.3,NA,NA,3.9,NA,NA,16.3,54.7,4.1,NA,NA,827.3,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,906.3,0
"24","ASV-MH190108-MD-02","ASV MH MD - 02","Concentrate","Distillate","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"25","AVD-0504205-LNP-QC1","AVD IG Carts","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"26","AVD-0504205-LNP-QC2","AVD IG Carts","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"27","AVD-MTW191031-QC-01","AVD CARTS QC X PL 343 Mango Trainwreck","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"28","AVD-MTW191031-QC-02","AVD CARTS QC X PL 343 Mango Trainwreck","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"29","AVD-MTW191031-QC-03","AVD CARTS QC X PL 343 Mango Trainwreck","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"30","Banana Kush Diamonds Q1","CHM-SHFBNK20111-FSOA","Concentrate","Crystalline","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"31","Banana Kush Diamonds Q2","CHM-SHFBNK20111-FSOA","Concentrate","Crystalline","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"32","Banana Kush FSO QC","CHM-SHFBNK201111-FSO","Concentrate","Other","","",546.321,67.021,NA,2.615,1.646,NA,6.916,4.475,12.907,17.961,5.611,605.098,4.05854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665.473,0
"33","Banjo Live Resin FSO","CHM-CSBNJ220302-FSO","Concentrate","Other","","",558.549,294.243,NA,0.935,1.161,NA,2.268,7.565,3.578,7.48,8.581,816.6,1.9532,0.002582161,0.203333004,0.004827273,NA,NA,0.006961905,NA,NA,0.018317772,NA,0.008410924,NA,0.078381736,0.189463444,0.176792526,NA,0.009201042,NA,NA,0.122470969,0.0738809,NA,NA,0.066175704,0.049730127,NA,0.212722008,0.815181432,884.36,2.038432927
"34","Banjo Terpenes","CHM-CSBJO210930-FSO","Other","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"35","BDZ Cart","PL-BDZ180808-1","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"36","BDZ Oil","PL-BDZ180808-1","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"37","Betsy FSO QC","CHM-TRNBTS210927-FSO","Concentrate","Other","","",511.784,283.915,NA,0.693,0.992,NA,5.571,4.589,5.026,6.869,2.631,760.777,0.869984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,822.07,0
"38","Betsy Infused FSO","CHM-TRBTS210927-FSO","Concentrate","Other","","",502.164,256.421,NA,0.732,NA,NA,5.659,4.395,4.624,7.293,2.466,727.045,0,0.0048,NA,0.01875,0.0251,0.005,0.00151,NA,NA,0.00519,0.0036,NA,NA,0.1638,NA,0.03749,0.00212,0.00704,NA,NA,0.07932,0.2111,NA,0.00212,0.0055,2.5975,0.01125,0.93467,2.40837,783.754,6.52423
